#,site,type,action,title,description,domain,user,password,email,option-siteoption1,subject,regex,replace-text
#,,,,,,,,,,,,,
#,commented,rows,are,not,processed,,,,,,,,
#,,,,,,,,,,,,,
#,,,,,,,,,,,,,
#,"site, type, action, title, description, domain, user, password, email, option-{key}",,,,,,,,,,,,
#,,,,,,,,,,,,,
,test-batch-1,site,add,Site Name,This is a Site.,,cbarto11,,user1@email.com,siteoption1Value,,,
#,,,,,,,,,,,,,
#,"site, type, action, title, description, user, password, email, option-{key}",,,,,,,,,,,,
#,,,,,,,,,,,,,
,test-batch,site,update,Site Name,This a longer description of the site.,,achapin1,,user2@email.com,siteoption2Value,,,
#,,,,,,,,,,,,,
#,"site, type, action",,,,,,,,,,,,
#,,,,,,,,,,,,,
,test-batch,site,delete,,,,,,,,,,
#,,,,,,,,,,,,,
#,"site, type, action",,,,,,,,,,,,
#,,,,,,,,,,,,,
,test-batch,site,archive,,,,,,,,,,
#,,,,,,,,,,,,,
#,"site, type, action, subject, regex, replace-text",,,,,,,,,,,,
#,,,,,,,,,,,,,
,test-batch,site,grep,,,,,,,,title,Site,This Site
